dbid,name,type,uniprot_name,cid,uniprot,poi,ligase,smiles,dc50,dmax,molecular_weight,exact_mass,heavy_atom_count,ring_count,hbond_donor_count,hbond_acceptor_count,molecular_formula,inchi,inchikey
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,275,P00533,EGFR,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,39.2/736.2,97.6/68.8,1030.62,1029.36618868,73,8,4,13,C55H57ClFN7O8S,"InChI=1S/C55H57ClFN7O8S/c1-34-50(73-33-61-34)38-10-8-35(9-11-38)28-58-53(67)47-27-42(65)29-64(47)54(68)51(55(2,3)4)63-49(66)31-70-21-20-69-22-23-71-43-16-12-37(13-17-43)39-14-18-46-44(25-39)52(60-32-59-46)62-41-15-19-48(45(56)26-41)72-30-36-6-5-7-40(57)24-36/h5-19,24-26,32-33,42,47,51,65H,20-23,27-31H2,1-4H3,(H,58,67)(H,63,66)(H,59,60,62)/t42-,47+,51-/m1/s1",ZSCOIFSUFMYZEZ-YSWDPXALSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,275,P00533,EGFR,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,1030.62,1029.36618868,73,8,4,13,C55H57ClFN7O8S,"InChI=1S/C55H57ClFN7O8S/c1-34-50(73-33-61-34)38-10-8-35(9-11-38)28-58-53(67)47-27-42(65)29-64(47)54(68)51(55(2,3)4)63-49(66)31-70-21-20-69-22-23-71-43-16-12-37(13-17-43)39-14-18-46-44(25-39)52(60-32-59-46)62-41-15-19-48(45(56)26-41)72-30-36-6-5-7-40(57)24-36/h5-19,24-26,32-33,42,47,51,65H,20-23,27-31H2,1-4H3,(H,58,67)(H,63,66)(H,59,60,62)/t42-,47+,51-/m1/s1",ZSCOIFSUFMYZEZ-YSWDPXALSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,275,P00533,EGFR L858R,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,1030.62,1029.36618868,73,8,4,13,C55H57ClFN7O8S,"InChI=1S/C55H57ClFN7O8S/c1-34-50(73-33-61-34)38-10-8-35(9-11-38)28-58-53(67)47-27-42(65)29-64(47)54(68)51(55(2,3)4)63-49(66)31-70-21-20-69-22-23-71-43-16-12-37(13-17-43)39-14-18-46-44(25-39)52(60-32-59-46)62-41-15-19-48(45(56)26-41)72-30-36-6-5-7-40(57)24-36/h5-19,24-26,32-33,42,47,51,65H,20-23,27-31H2,1-4H3,(H,58,67)(H,63,66)(H,59,60,62)/t42-,47+,51-/m1/s1",ZSCOIFSUFMYZEZ-YSWDPXALSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,275,P00533,EGFR e19d,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,1030.62,1029.36618868,73,8,4,13,C55H57ClFN7O8S,"InChI=1S/C55H57ClFN7O8S/c1-34-50(73-33-61-34)38-10-8-35(9-11-38)28-58-53(67)47-27-42(65)29-64(47)54(68)51(55(2,3)4)63-49(66)31-70-21-20-69-22-23-71-43-16-12-37(13-17-43)39-14-18-46-44(25-39)52(60-32-59-46)62-41-15-19-48(45(56)26-41)72-30-36-6-5-7-40(57)24-36/h5-19,24-26,32-33,42,47,51,65H,20-23,27-31H2,1-4H3,(H,58,67)(H,63,66)(H,59,60,62)/t42-,47+,51-/m1/s1",ZSCOIFSUFMYZEZ-YSWDPXALSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,1218,P00533,EGFR,CRBN,C=CC(=O)NC1=CC(NC2=NC=CC(C3=CN(C)C4=CC=CC=C34)=N2)=C(OC)C=C1N(C)CCN(C)CCOCCOCC(=O)NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,,,872.984,872.396958624,64,7,4,14,C46H52N10O8,"InChI=1S/C46H52N10O8/c1-6-41(57)49-35-24-36(51-46-47-17-16-34(50-46)31-26-55(4)37-13-8-7-10-29(31)37)40(62-5)25-39(35)54(3)19-18-53(2)20-21-63-22-23-64-28-43(59)48-33-12-9-11-30-32(33)27-56(45(30)61)38-14-15-42(58)52-44(38)60/h6-13,16-17,24-26,38H,1,14-15,18-23,27-28H2,2-5H3,(H,48,59)(H,49,57)(H,47,50,51)(H,52,58,60)",WOALWHLORCCRQM-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5655,P00533,EGFR,CRBN,O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)COCCOCCN4N=C5[NH]C6=CC=CC=C6N=C5C4=O)=C3C2=O)C(=O)N1,43.4,,587.549,587.17646076,43,6,3,11,C28H25N7O8,"InChI=1S/C28H25N7O8/c36-20-9-8-19(25(38)32-20)35-26(39)15-4-3-7-18(22(15)27(35)40)29-21(37)14-43-13-12-42-11-10-34-28(41)23-24(33-34)31-17-6-2-1-5-16(17)30-23/h1-7,19H,8-14H2,(H,29,37)(H,31,33)(H,32,36,38)",OXSXZSPEDPGYSH-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5655,P00533,EGFR T790M,CRBN,O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)COCCOCCN4N=C5[NH]C6=CC=CC=C6N=C5C4=O)=C3C2=O)C(=O)N1,,,587.549,587.17646076,43,6,3,11,C28H25N7O8,"InChI=1S/C28H25N7O8/c36-20-9-8-19(25(38)32-20)35-26(39)15-4-3-7-18(22(15)27(35)40)29-21(37)14-43-13-12-42-11-10-34-28(41)23-24(33-34)31-17-6-2-1-5-16(17)30-23/h1-7,19H,8-14H2,(H,29,37)(H,31,33)(H,32,36,38)",OXSXZSPEDPGYSH-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5656,P00533,EGFR,CRBN,CN1C(=O)C(C(=O)NNCCOCCOCC(=O)NC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=CC=CC=C21,32.9,,619.591,619.202675508,45,5,4,12,C29H29N7O9,"InChI=1S/C29H29N7O9/c1-35-19-8-3-2-6-17(19)32-24(29(35)43)26(40)34-30-11-12-44-13-14-45-15-22(38)31-18-7-4-5-16-23(18)28(42)36(27(16)41)20-9-10-21(37)33-25(20)39/h2-8,20,30H,9-15H2,1H3,(H,31,38)(H,34,40)(H,33,37,39)",MGPULBDTVXSSAA-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5656,P00533,EGFR T790M,CRBN,CN1C(=O)C(C(=O)NNCCOCCOCC(=O)NC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=CC=CC=C21,,,619.591,619.202675508,45,5,4,12,C29H29N7O9,"InChI=1S/C29H29N7O9/c1-35-19-8-3-2-6-17(19)32-24(29(35)43)26(40)34-30-11-12-44-13-14-45-15-22(38)31-18-7-4-5-16-23(18)28(42)36(27(16)41)20-9-10-21(37)33-25(20)39/h2-8,20,30H,9-15H2,1H3,(H,31,38)(H,34,40)(H,33,37,39)",MGPULBDTVXSSAA-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5657,P00533,EGFR,CRBN,O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)COCCOCCOCCNC(=O)C4=NC5=CC=CC=C5[NH]C4=O)=C3C2=O)C(=O)N1,,,634.602,634.20234116,46,5,4,11,C30H30N6O10,"InChI=1S/C30H30N6O10/c37-22-9-8-21(26(39)35-22)36-29(42)17-4-3-7-20(24(17)30(36)43)32-23(38)16-46-15-14-45-13-12-44-11-10-31-27(40)25-28(41)34-19-6-2-1-5-18(19)33-25/h1-7,21H,8-16H2,(H,31,40)(H,32,38)(H,34,41)(H,35,37,39)",OZPRDNWEPCURPP-UHFFFAOYSA-N
